"time","hp1.Pelec","hp2.Pelec","hP_with_boiler.Pelec"
154,42.4978,15.4113,27.6925
154.5,42.4909,15.8017,27.6925
155,42.4909,16.1911,27.6925
155,42.4909,16.1911,34.8489
155,42.4909,16.1911,37.655
155.5,42.4909,19.4366,37.655
156,42.4909,23.1963,26.6963
156,42.4909,23.1963,26.6963
156,42.4909,23.1963,26.6963
156.5,42.5954,23.2831,27.1856
157,42.7067,23.2115,27.4266
157,42.7067,23.2115,27.4266
157,42.7067,23.2115,27.4266
157.5,42.6875,23.4157,27.9818
158,42.6597,23.6323,28.5573
158,42.6597,23.6323,28.5573
158,42.6597,23.6323,28.5573
158.5,42.7363,23.5713,28.5008
159,42.8198,23.4992,28.4181
159,42.8198,23.4992,28.4181
159,42.8198,23.4992,28.4181
159.5,42.7728,23.6352,28.4942
160,42.7171,23.7804,28.577
160,42.7171,23.7804,28.577
160,42.7171,23.7804,28.577
160.5,42.583,23.9965,27.713
161,42.4438,24.2168,26.829
161,42.4438,24.2168,26.829
161,42.4438,24.2168,26.829
161.5,42.3307,24.2257,26.4917
162,42.2193,24.2257,26.178
162,42.2193,24.2257,26.178
162,42.2193,24.2257,26.178
162.5,42.552,24.7958,25.8666
163,42.914,25.3995,25.5579
163,42.914,25.3995,25.5579
163,42.914,25.3995,25.5579
163.5,43.067,24.773,25.7694
164,43.2058,24.1051,26.0019
164,43.2058,24.1051,26.0019
164,43.2058,24.1051,26.0019
164.5,43.2671,23.6581,25.5635
165,43.3228,23.2254,25.1049
165,43.3228,23.2254,25.1049
165,43.3228,23.2254,25.1049
165.5,43.4046,22.8663,24.7969
166,43.4878,22.5139,24.4968
166,43.4878,22.5139,24.4968
166,43.4878,22.5139,24.4968
166.5,43.5978,21.8986,24.4863
167,43.7085,21.2848,24.4863
167,43.7085,21.2848,24.4863
167,43.7085,21.2848,24.4863
167.5,42.6084,21.0682,24.4863
168,41.4483,20.8677,24.4863
168,41.4483,20.8677,24.4863
168,41.4483,20.8677,24.4863
168.5,41.3536,22.6388,24.7755
169,41.3265,24.5891,25.0777
169,41.3265,24.5891,25.0777
169,41.3265,24.5891,25.0777
169.5,41.274,22.9895,25.0154
170,41.22,21.3219,24.9398
170,41.22,21.3219,24.9398
170,41.22,21.3219,24.9398
170.5,41.2674,20.2385,25.1564
171,41.3215,19.2115,25.3851
171,41.3215,19.2115,25.3851
171,41.3215,19.2115,25.3851
171.5,41.4012,19.1168,25.2461
172,41.4824,19.0541,25.094
172,41.4824,19.0541,25.094
172,41.4824,19.0541,25.094
172.5,41.5382,18.9915,24.7243
173,41.5924,18.9292,24.3503
173,41.5924,18.9292,24.3503
173,41.5924,18.9292,24.3503
173.5,41.5448,19.1691,24.0513
174,41.4907,19.4216,23.7574
174,41.4907,19.4216,23.7574
174,41.4907,19.4216,23.7574
174.5,41.7164,19.8623,24.6766
175,41.9601,20.3164,25.6642
175,41.9601,20.3164,25.6642
175,41.9601,20.3164,25.6642
175.5,42.0002,20.9699,26.074
176,42.0273,21.6447,26.4652
176,42.0273,21.6447,26.4652
