"time","hp1.COP","hp2.COP","hP_with_boiler.COP"
165,4.2167,5.41853,7.21979
165,4.2167,5.41853,7.21979
165.5,4.2167,5.45259,7.2646
166,4.2167,5.48706,7.30991
166,4.2167,5.48706,7.30991
166,4.2167,5.48706,7.30991
166.5,4.2167,5.55011,7.30991
167,4.2167,5.6145,7.30991
167,4.2167,5.6145,7.30991
167,4.2167,5.6145,7.30991
167.5,4.24876,5.63628,7.30991
168,4.28121,5.65821,7.30991
168,4.28121,5.65821,7.30991
168,4.28121,5.65821,7.30991
168.5,4.28121,5.46633,7.2646
169,4.28121,5.28605,7.21979
169,4.28121,5.28605,7.21979
169,4.28121,5.28605,7.21979
169.5,4.28121,5.44575,7.23095
170,4.28121,5.6145,7.24213
170,4.28121,5.6145,7.24213
170,4.28121,5.6145,7.24213
170.5,4.28121,5.73247,7.20867
171,4.28121,5.85512,7.1755
171,4.28121,5.85512,7.1755
171,4.28121,5.85512,7.1755
171.5,4.28121,5.86295,7.19758
172,4.28121,5.8708,7.21979
172,4.28121,5.8708,7.21979
172,4.28121,5.8708,7.21979
172.5,4.28121,5.87867,7.27588
173,4.28121,5.88656,7.33277
173,4.28121,5.88656,7.33277
173,4.28121,5.88656,7.33277
173.5,4.28121,5.85512,7.37887
174,4.28121,5.824,7.42551
174,4.28121,5.824,7.42551
174,4.28121,5.824,7.42551
174.5,4.28121,5.77028,7.27588
175,4.28121,5.71747,7.13169
175,4.28121,5.71747,7.13169
175,4.28121,5.71747,7.13169
175.5,4.28121,5.64357,7.07763
176,4.28121,5.57142,7.02431
176,4.28121,5.57142,7.02431
176,4.28121,5.57142,7.02431
176.5,4.28121,5.51492,7.00318
177,4.28121,5.45946,6.98218
177,4.28121,5.45946,6.98218
177,4.28121,5.45946,6.98218
177.5,4.28121,5.45946,6.95088
178,4.28121,5.45946,6.91985
178,4.28121,5.45946,6.91985
178,4.28121,5.45946,6.91985
178.5,4.28121,5.45259,6.87886
179,4.28121,5.44575,6.83831
179,4.28121,5.44575,6.83831
179,4.28121,5.44575,6.83831
179.5,4.28121,5.26026,7.05621
180,4.28121,5.08584,7.28719
180,4.28121,5.08584,7.28719
180,4.28121,5.08584,7.28719
180.5,4.28121,5.0798,7.29854
181,4.28121,5.07378,7.30991
181,4.28121,5.07378,7.30991
181,4.28121,5.07378,7.30991
181.5,4.28121,5.06776,7.33277
182,4.28121,5.06176,7.35575
182,4.28121,5.06176,7.35575
182,4.28121,5.06176,7.35575
182.5,4.28121,5.06176,7.33277
183,4.28121,5.06176,7.30991
183,4.28121,5.06176,7.30991
183,4.28121,5.06176,7.30991
183.5,4.28121,5.05578,7.27588
184,4.28121,5.0498,7.24213
184,4.28121,5.0498,7.24213
184,4.28121,5.0498,7.24213
184.5,4.28121,5.04384,7.21979
185,4.28121,5.03789,7.19758
185,4.28121,5.03789,7.19758
185,4.28121,5.03789,7.19758
185.5,4.28121,5.04384,7.21979
186,4.28121,5.0498,7.24213
186,4.28121,5.0498,7.24213
186,4.28121,5.0498,7.24213
186.5,4.28121,5.04384,7.1426
187,4.28121,5.03789,7.04554
187,4.28121,5.03789,7.04554
187,4.28121,5.03789,7.04554
187.5,4.28121,5.03789,7.03491
188,4.28121,5.03789,7.02431
188,4.28121,5.03789,7.02431
188,4.28121,5.03789,7.02431
188.5,4.28121,5.03789,7.12082
189,4.28121,5.03789,7.21979
189,4.28121,5.03789,7.21979
189,4.28121,5.03789,7.21979
189.5,4.28121,5.05578,7.19758
190,4.28121,5.07378,7.1755
190,4.28121,5.07378,7.1755
190,4.28121,5.07378,7.1755
190.5,4.28121,5.0798,7.19758
191,4.28121,5.08584,7.21979
191,4.28121,5.08584,7.21979
nan,nan,5.08584,7.21979
nan,nan,5.18422,7.24213
nan,nan,5.28605,7.2646
nan,nan,5.28605,7.2646
nan,nan,5.28605,7.2646
nan,nan,5.22833,7.29854
nan,nan,5.17174,7.33277
nan,nan,5.17174,7.33277
1.08224e-312,2.12217e-313,5.17174,7.33277
1.08224e-312,9.54916e-313,5.24106,7.33277
nan,1.63395e-312,5.31207,7.33277
nan,nan,5.31207,7.33277
nan,nan,5.31207,7.33277
nan,nan,5.39155,7.34424
nan,nan,5.47322,7.35575
nan,nan,5.47322,7.35575
nan,nan,5.47322,7.35575
2.12394e-314,nan,5.47322,7.29854
nan,nan,5.47322,7.24213
nan,nan,5.47322,7.24213
nan,nan,5.47322,7.24213
nan,1.08224e-312,5.42531,7.24213
