"time","electrolyser_simple.electrochemical_simple.efficiency2","electrolyser_detailed1.electrochemical.efficiency2"
170.75,0.704946,0.706791
171,0.704912,0.706765
171,0.704912,0.706765
171,0.704912,0.706765
171.25,0.704862,0.70673
171.5,0.704811,0.706702
171.75,0.704761,0.706679
172,0.70471,0.70666
172,0.70471,0.70666
172,0.70471,0.70666
172.25,0.704676,0.706658
172.5,0.704643,0.706655
172.75,0.704609,0.706652
173,0.704576,0.706647
173,0.704576,0.706647
173,0.704576,0.706647
173.25,0.704609,0.7067
173.5,0.704642,0.70674
173.75,0.704676,0.706771
174,0.704709,0.706794
174,0.704709,0.706794
174,0.704709,0.706794
174.25,0.70456,0.706655
174.5,0.704409,0.706545
174.75,0.704257,0.706459
175,0.704107,0.70639
175,0.704107,0.70639
175,0.704107,0.70639
175.25,0.704089,0.706447
175.5,0.704072,0.706489
