"time","hp2.COP"
174,4.28121
174,4.28121
174.5,4.24071
175,4.20081
175,4.20081
175,4.20081
175.5,4.19641
176,4.19202
176,4.19202
176,4.19202
176.5,4.23179
177,4.27216
177,4.27216
177,4.27216
177.5,4.26314
178,4.25414
178,4.25414
178,4.25414
178.5,4.26314
179,4.27216
179,4.27216
179,4.27216
179.5,4.28121
180,4.2903
180,4.2903
180,4.2903
180.5,4.30398
181,4.31773
181,4.31773
181,4.31773
181.5,4.31773
182,4.31773
182,4.31773
182,4.31773
182.5,4.32233
183,4.32694
183,4.32694
183,4.32694
183.5,4.30398
184,4.28121
184,4.28121
184,4.28121
184.5,4.28121
185,4.28121
185,4.28121
185,4.28121
185.5,4.27216
186,4.26314
186,4.26314
186,4.26314
186.5,4.25864
187,4.25414
187,4.25414
187,4.25414
187.5,4.27216
188,4.2903
188,4.2903
188,4.2903
188.5,4.31314
189,4.33618
189,4.33618
189,4.33618
189.5,4.31773
190,4.29941
190,4.29941
190,4.29941
190.5,4.27216
191,4.24518
191,4.24518
